City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,jamestown,42.097,-79.2353,283.92,93,100,3.09,US,1697574813
83,moanda,-1.5575,13.2178,295.09,99,100,1.15,GA,1697574959
84,dapaong,10.8639,0.205,300.53,65,93,2.42,TG,1697574960
85,terbuny,52.1389,38.2789,276.79,69,7,6.5,RU,1697574960
86,nagqu,31.5,92.0,270.69,82,100,1.15,CN,1697574961
87,saint-philippe,-21.3585,55.7679,297.92,82,93,2.65,RE,1697574961
88,humaita,-7.5061,-63.0208,310.8,27,93,1.54,BR,1697574962
89,stanley,54.868,-1.6985,281.32,95,20,2.57,GB,1697574962
90,porto novo,6.4965,2.6036,298.05,89,100,1.1,BJ,1697574743
91,papao,-17.75,-149.55,299.97,82,90,8.26,PF,1697574963
92,nova sintra,14.8667,-24.7167,298.63,71,0,4.85,CV,1697574964
93,albany,42.6001,-73.9662,287.39,67,97,1.81,US,1697574965
94,pyhaselka,62.4333,29.9667,275.59,95,100,3.14,FI,1697574965
95,kingston,17.997,-76.7936,305.68,69,20,5.14,JM,1697574966
96,uturoa,-16.7333,-151.4333,299.44,80,99,8.33,PF,1697574967
97,kalach-na-donu,48.691,43.5264,278.42,59,1,3.6,RU,1697574967
98,al burayqah,30.4062,19.5739,296.52,68,0,3.02,LY,1697574968
99,lospalos,-8.5186,127.0025,292.93,94,27,1.52,TL,1697574968
100,kutum,14.2,24.6667,297.35,21,68,5.61,SD,1697574968
101,tazovsky,67.4667,78.7,276.74,97,100,5.49,RU,1697574969
102,port lincoln,-34.7333,135.8667,287.23,79,0,4.32,AU,1697574862
103,coahuayana de hidalgo,18.7,-103.6583,301.04,81,100,1.62,MX,1697574970
104,tolanaro,-25.0319,46.9987,296.19,78,75,7.2,MG,1697574970
105,lubang,13.8584,120.124,301.2,79,25,9.84,PH,1697574970
106,box elder,41.5005,-112.8764,292.13,34,0,0.97,US,1697574971
107,peal de becerro,37.8771,-3.0841,293.5,53,5,5.13,ES,1697574971
108,margaret river,-33.95,115.0667,287.16,79,100,3.2,AU,1697574972
109,utrik,11.2278,169.8474,300.95,79,21,6.76,MH,1697574972
110,harstad,68.799,16.5293,274.71,93,48,4.47,NO,1697574972
111,afif,23.9065,42.9172,296.72,19,17,1.66,SA,1697574973
112,brisas de zicatela,15.8369,-97.0419,304.44,51,40,2.57,MX,1697574973
113,callao,-12.0667,-77.15,297.99,73,40,6.69,PE,1697574677
114,sheopur,25.6667,76.7,295.61,68,2,1.57,IN,1697574974
115,sinop,41.7711,34.8709,282.28,90,100,2.51,TR,1697574974
116,turpan,42.9333,89.1667,286.89,23,0,2.01,CN,1697574975
117,suntar,62.1444,117.6319,271.56,93,97,1.79,RU,1697574975
118,wenchang,30.904,118.4887,288.89,65,0,1.55,CN,1697574976
119,huadian,42.9633,126.7478,280.5,65,100,1.08,CN,1697574976
120,mitchell,43.7094,-98.0298,296.14,38,0,8.23,US,1697574932
121,geneseo,42.7959,-77.8169,285.67,74,95,2.52,US,1697574977
122,gillette,44.2911,-105.5022,296.54,29,0,0.45,US,1697574976
123,olinda,-8.0089,-34.8553,299.0,73,40,7.2,BR,1697574977
124,klyuchi,52.2667,79.1667,281.8,53,47,3.33,RU,1697574715
125,polyarnyy,69.1989,33.4478,275.6,70,100,6.27,RU,1697574978
126,smara,26.7384,-11.6719,300.17,37,9,6.18,EH,1697574979
127,cooper's town,26.8667,-77.5167,296.75,64,26,5.78,BS,1697574979
128,selfoss,63.9331,-20.9971,283.17,96,100,8.81,IS,1697574979
129,caninde de sao francisco,-9.66,-37.7894,299.57,53,60,6.91,BR,1697574980
130,west island,-12.1568,96.8225,299.14,83,40,8.23,CC,1697574980
131,iyidere,41.0119,40.3619,287.13,82,34,1.83,TR,1697574981
132,isafjordur,66.0755,-23.124,279.08,92,96,5.4,IS,1697574981
133,bridgewater,44.3835,-64.5155,283.97,86,95,2.57,CA,1697574893
134,vorgashor,67.5833,63.95,274.67,94,100,3.64,RU,1697574982
135,dawson creek,55.7666,-120.2362,286.95,58,75,4.12,CA,1697574982
136,ribeira grande,38.5167,-28.7,294.69,88,75,7.6,PT,1697574983
137,kangding,30.0513,101.9603,282.99,96,90,1.6,CN,1697574983
138,tchaourou,8.8865,2.5975,296.79,91,100,1.08,BJ,1697574984
139,amvrosiyivka,47.7935,38.4777,278.36,68,91,2.98,UA,1697574984
140,smithers,54.7804,-127.1743,281.33,87,100,2.06,CA,1697574984
141,alo,7.4178,6.7371,297.07,92,77,0.39,NG,1697574985
142,zavodskoy,43.4597,132.2922,282.57,43,96,2.06,RU,1697574985
143,kruisfontein,-34.0033,24.7314,288.94,81,0,1.7,ZA,1697574986
144,salinopolis,-0.6136,-47.3561,300.28,82,50,5.41,BR,1697574986
145,lazaro cardenas,17.9583,-102.2,301.12,81,97,2.11,MX,1697574774
146,gorgoram,12.6398,10.7039,306.11,18,99,4.29,NG,1697574987
147,holualoa,19.6228,-155.9522,300.68,73,20,4.63,US,1697574988
148,avarua,-21.2078,-159.775,297.18,69,20,6.17,CK,1697574988
149,reggane,26.7158,0.1714,301.55,16,3,1.5,DZ,1697574988
150,cockburn town,21.4612,-71.1419,302.62,68,42,2.58,TC,1697574939
151,la'ie,21.6477,-157.9253,302.62,75,0,2.24,US,1697574989
152,boyolangu,-8.1181,111.8935,296.66,92,100,1.86,ID,1697574990
153,qaqortoq,60.7167,-46.0333,272.69,58,7,5.05,GL,1697574990
154,nyurba,63.2842,118.3319,266.5,98,93,1.34,RU,1697574990
155,nar'yan-mar,67.6713,53.087,274.32,89,100,4.02,RU,1697574991
156,goundam,16.4145,-3.6708,308.36,23,55,3.88,ML,1697574991
